"eventrecordid","providername","providerguid","eventid","version","level","keywords","task","opcode","createdsystemtime","correlationactivityid","correlationrelatedactivityid","executionprocessid","executionthreadid","channel","computer","securityuserid","evtrenderdata"
ï»¿"11","Microsoft-Windows-FilterManager","{F3C5E28E-63F6-49C7-A204-E48A1BC4B09D}","6","0","INFORMATION"," ","0","0","1688073633"," "," ","4","8","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-FilterManager' Guid='{f3c5e28e-63f6-49c7-a204-e48a1bc4b09d}'/><EventID>6</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:33.5022566Z'/><EventRecordID>11</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='8'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='FinalStatus'>0x0</Data><Data Name='DeviceVersionMajor'>10</Data><Data Name='DeviceVersionMinor'>0</Data><Data Name='DeviceNameLength'>8</Data><Data Name='DeviceName'>FileInfo</Data><Data Name='DeviceTime'>2062-12-23T13:21:06.0000000Z</Data></EventData></Event>"
ï»¿"12","Microsoft-Windows-FilterManager","{F3C5E28E-63F6-49C7-A204-E48A1BC4B09D}","6","0","INFORMATION"," ","0","0","1688073633"," "," ","4","8","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-FilterManager' Guid='{f3c5e28e-63f6-49c7-a204-e48a1bc4b09d}'/><EventID>6</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:33.5030631Z'/><EventRecordID>12</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='8'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='FinalStatus'>0x0</Data><Data Name='DeviceVersionMajor'>10</Data><Data Name='DeviceVersionMinor'>0</Data><Data Name='DeviceNameLength'>3</Data><Data Name='DeviceName'>Wof</Data><Data Name='DeviceTime'>2024-08-23T22:35:41.0000000Z</Data></EventData></Event>"
ï»¿"13","Microsoft-Windows-FilterManager","{F3C5E28E-63F6-49C7-A204-E48A1BC4B09D}","6","0","INFORMATION"," ","0","0","1688073633"," "," ","4","8","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-FilterManager' Guid='{f3c5e28e-63f6-49c7-a204-e48a1bc4b09d}'/><EventID>6</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:33.5037566Z'/><EventRecordID>13</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='8'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='FinalStatus'>0x0</Data><Data Name='DeviceVersionMajor'>10</Data><Data Name='DeviceVersionMinor'>0</Data><Data Name='DeviceNameLength'>8</Data><Data Name='DeviceName'>WdFilter</Data><Data Name='DeviceTime'>2066-04-09T12:52:09.0000000Z</Data></EventData></Event>"
ï»¿"14","Microsoft-Windows-Ntfs","{3FF37A1C-A68D-4D6E-8C9B-F79E8B16C482}","98","0","INFORMATION"," ","0","0","1688073634"," "," ","4","300","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Ntfs' Guid='{3ff37a1c-a68d-4d6e-8c9b-f79e8b16c482}'/><EventID>98</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000002</Keywords><TimeCreated SystemTime='2023-06-29T21:20:34.2196406Z'/><EventRecordID>14</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='300'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='DriveName'>C:</Data><Data Name='DeviceName'>\Device\HarddiskVolume2</Data><Data Name='CorruptionActionState'>0</Data></EventData></Event>"
ï»¿"15","Microsoft-Windows-FilterManager","{F3C5E28E-63F6-49C7-A204-E48A1BC4B09D}","6","0","INFORMATION"," ","0","0","1688073635"," "," ","4","8","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-FilterManager' Guid='{f3c5e28e-63f6-49c7-a204-e48a1bc4b09d}'/><EventID>6</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:35.5198300Z'/><EventRecordID>15</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='8'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='FinalStatus'>0x0</Data><Data Name='DeviceVersionMajor'>10</Data><Data Name='DeviceVersionMinor'>0</Data><Data Name='DeviceNameLength'>9</Data><Data Name='DeviceName'>FileCrypt</Data><Data Name='DeviceTime'>2002-03-01T19:12:42.0000000Z</Data></EventData></Event>"
ï»¿"16","Microsoft-Windows-Kernel-Processor-Power","{0F67E49F-FE51-4E9F-B490-6F2948CC6027}","55","0","INFORMATION"," ","47","0","1688073635"," "," ","4","328","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Kernel-Processor-Power' Guid='{0f67e49f-fe51-4e9f-b490-6f2948cc6027}'/><EventID>55</EventID><Version>0</Version><Level>4</Level><Task>47</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:35.8833740Z'/><EventRecordID>16</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='328'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='Group'>0</Data><Data Name='Number'>0</Data><Data Name='IdleStateCount'>1</Data><Data Name='IdleImplementation'>1</Data><Data Name='NominalFrequency'>2195</Data><Data Name='MaximumPerformancePercent'>100</Data><Data Name='MinimumPerformancePercent'>100</Data><Data Name='MinimumThrottlePercent'>12</Data><Data Name='PerformanceImplementation'>1</Data></EventData></Event>"
ï»¿"17","Microsoft-Windows-Kernel-Processor-Power","{0F67E49F-FE51-4E9F-B490-6F2948CC6027}","55","0","INFORMATION"," ","47","0","1688073635"," "," ","4","328","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Kernel-Processor-Power' Guid='{0f67e49f-fe51-4e9f-b490-6f2948cc6027}'/><EventID>55</EventID><Version>0</Version><Level>4</Level><Task>47</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:35.8844146Z'/><EventRecordID>17</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='328'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='Group'>0</Data><Data Name='Number'>3</Data><Data Name='IdleStateCount'>1</Data><Data Name='IdleImplementation'>1</Data><Data Name='NominalFrequency'>2195</Data><Data Name='MaximumPerformancePercent'>100</Data><Data Name='MinimumPerformancePercent'>100</Data><Data Name='MinimumThrottlePercent'>12</Data><Data Name='PerformanceImplementation'>1</Data></EventData></Event>"
ï»¿"18","Microsoft-Windows-Kernel-Processor-Power","{0F67E49F-FE51-4E9F-B490-6F2948CC6027}","55","0","INFORMATION"," ","47","0","1688073635"," "," ","4","328","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Kernel-Processor-Power' Guid='{0f67e49f-fe51-4e9f-b490-6f2948cc6027}'/><EventID>55</EventID><Version>0</Version><Level>4</Level><Task>47</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:35.8852322Z'/><EventRecordID>18</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='328'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='Group'>0</Data><Data Name='Number'>2</Data><Data Name='IdleStateCount'>1</Data><Data Name='IdleImplementation'>1</Data><Data Name='NominalFrequency'>2195</Data><Data Name='MaximumPerformancePercent'>100</Data><Data Name='MinimumPerformancePercent'>100</Data><Data Name='MinimumThrottlePercent'>12</Data><Data Name='PerformanceImplementation'>1</Data></EventData></Event>"
ï»¿"19","Microsoft-Windows-Kernel-Processor-Power","{0F67E49F-FE51-4E9F-B490-6F2948CC6027}","55","0","INFORMATION"," ","47","0","1688073635"," "," ","4","328","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Kernel-Processor-Power' Guid='{0f67e49f-fe51-4e9f-b490-6f2948cc6027}'/><EventID>55</EventID><Version>0</Version><Level>4</Level><Task>47</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:35.8861524Z'/><EventRecordID>19</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='328'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='Group'>0</Data><Data Name='Number'>1</Data><Data Name='IdleStateCount'>1</Data><Data Name='IdleImplementation'>1</Data><Data Name='NominalFrequency'>2195</Data><Data Name='MaximumPerformancePercent'>100</Data><Data Name='MinimumPerformancePercent'>100</Data><Data Name='MinimumThrottlePercent'>12</Data><Data Name='PerformanceImplementation'>1</Data></EventData></Event>"
ï»¿"20","Microsoft-Windows-FilterManager","{F3C5E28E-63F6-49C7-A204-E48A1BC4B09D}","6","0","INFORMATION"," ","0","0","1688073636"," "," ","4","8","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-FilterManager' Guid='{f3c5e28e-63f6-49c7-a204-e48a1bc4b09d}'/><EventID>6</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:36.2302635Z'/><EventRecordID>20</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='8'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='FinalStatus'>0x0</Data><Data Name='DeviceVersionMajor'>10</Data><Data Name='DeviceVersionMinor'>0</Data><Data Name='DeviceNameLength'>9</Data><Data Name='DeviceName'>npsvctrig</Data><Data Name='DeviceTime'>2025-01-06T10:41:12.0000000Z</Data></EventData></Event>"
ï»¿"21","Microsoft-Windows-Ntfs","{3FF37A1C-A68D-4D6E-8C9B-F79E8B16C482}","98","0","INFORMATION"," ","0","0","1688073636"," "," ","4","332","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Ntfs' Guid='{3ff37a1c-a68d-4d6e-8c9b-f79e8b16c482}'/><EventID>98</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000002</Keywords><TimeCreated SystemTime='2023-06-29T21:20:36.3235429Z'/><EventRecordID>21</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='332'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='DriveName'>\\?\Volume{47a18612-0000-0000-0000-100000000000}</Data><Data Name='DeviceName'>\Device\HarddiskVolume1</Data><Data Name='CorruptionActionState'>0</Data></EventData></Event>"
ï»¿"22","Microsoft-Windows-Kernel-Power","{331C3B3A-2005-44C2-AC5E-77220C37D6B4}","172","0","INFORMATION"," ","203","0","1688073636"," "," ","4","332","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Kernel-Power' Guid='{331c3b3a-2005-44c2-ac5e-77220c37d6b4}'/><EventID>172</EventID><Version>0</Version><Level>4</Level><Task>203</Task><Opcode>0</Opcode><Keywords>0x8000000000000404</Keywords><TimeCreated SystemTime='2023-06-29T21:20:36.4938542Z'/><EventRecordID>22</EventRecordID><Correlation/><Execution ProcessID='4' ThreadID='332'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='State'>2</Data><Data Name='Reason'>6</Data></EventData></Event>"
ï»¿"23","Microsoft-Windows-Kernel-General","{A68CA8B7-004F-D7B6-A698-07E2DE0F1F5D}","24","0","INFORMATION"," ","11","0","1688073640"," "," ","108","428","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Kernel-General' Guid='{a68ca8b7-004f-d7b6-a698-07e2de0f1f5d}'/><EventID>24</EventID><Version>0</Version><Level>4</Level><Task>11</Task><Opcode>0</Opcode><Keywords>0x8000000000000010</Keywords><TimeCreated SystemTime='2023-06-29T21:20:40.4404389Z'/><EventRecordID>23</EventRecordID><Correlation/><Execution ProcessID='108' ThreadID='428'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='ExitReason'>0</Data><Data Name='CurrentBias'>-480</Data><Data Name='CurrentTimeZoneID'>0</Data><Data Name='TimeZoneInfoCacheUpdated'>0</Data><Data Name='FirstRefresh'>0</Data></EventData></Event>"
ï»¿"24","Microsoft-Windows-Wininit","{206F6DEA-D3C5-4D10-BC72-989F03C8B84B}","14","0","INFORMATION"," ","0","0","1688073642"," "," ","564","568","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Wininit' Guid='{206f6dea-d3c5-4d10-bc72-989f03c8b84b}'/><EventID>14</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x4000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:42.3697209Z'/><EventRecordID>24</EventRecordID><Correlation/><Execution ProcessID='564' ThreadID='568'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='Config'>0</Data><Data Name='IsTestConfig'>0</Data></EventData></Event>"
ï»¿"25","Microsoft-Windows-Directory-Services-SAM","{0D4FDC09-8C27-494A-BDA0-505E4FD8ADAE}","16962","0","INFORMATION"," ","0","0","1688073644","{87A91B10-AACF-0002-901B-A987CFAAD901}"," ","700","704","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Directory-Services-SAM' Guid='{0d4fdc09-8c27-494a-bda0-505e4fd8adae}'/><EventID>16962</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:44.2245674Z'/><EventRecordID>25</EventRecordID><Correlation ActivityID='{87a91b10-aacf-0002-901b-a987cfaad901}'/><Execution ProcessID='700' ThreadID='704'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData Name='SAMMSG_RESTRICT_REMOTE_SAM_DEFAULT_SD'><Data Name='Default SD String:'>O:SYG:SYD:(A;;RC;;;BA)</Data></EventData></Event>"
ï»¿"26","Microsoft-Windows-Directory-Services-SAM","{0D4FDC09-8C27-494A-BDA0-505E4FD8ADAE}","16977","0","INFORMATION"," ","0","0","1688073644","{87A91B10-AACF-0002-901B-A987CFAAD901}"," ","700","704","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Directory-Services-SAM' Guid='{0d4fdc09-8c27-494a-bda0-505e4fd8adae}'/><EventID>16977</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:44.3289451Z'/><EventRecordID>26</EventRecordID><Correlation ActivityID='{87a91b10-aacf-0002-901b-a987cfaad901}'/><Execution ProcessID='700' ThreadID='704'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData Name='SAMMSG_MINPWDLEN_SETTINGS_IN_EFFECT'><Data Name='MinimumPasswordLength'>0</Data><Data Name='RelaxMinimumPasswordLengthLimits'>0</Data><Data Name='MinimumPasswordLengthAudit'>-1</Data></EventData></Event>"
ï»¿"27","Microsoft-Windows-Directory-Services-SAM","{0D4FDC09-8C27-494A-BDA0-505E4FD8ADAE}","16983","0","INFORMATION"," ","0","0","1688073644","{87A91B10-AACF-0002-901B-A987CFAAD901}"," ","700","704","System","WIN-VBFV11TS5L1","S-1-5-18","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Directory-Services-SAM' Guid='{0d4fdc09-8c27-494a-bda0-505e4fd8adae}'/><EventID>16983</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2023-06-29T21:20:44.3289486Z'/><EventRecordID>27</EventRecordID><Correlation ActivityID='{87a91b10-aacf-0002-901b-a987cfaad901}'/><Execution ProcessID='700' ThreadID='704'/><Channel>System</Channel><Computer>WIN-VBFV11TS5L1</Computer><Security UserID='S-1-5-18'/></System><EventData Name='SAMMSG_AUDIT_LEGACY_PWD_RPC_METHODS_OFF'></EventData></Event>"
