"displayname","registryname","displayversion","installdate","installedfor","installlocation","publisher","uninstallstring","modifypath","comments","urlinfoabout","urlupdateinfo","helplink","installsource","releasetype","displayicon","estimatedsize","registrytime","installfoldercreatedtime","installfoldermodifiedtime"
﻿"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030","{33d1fd90-4274-48a1-9bc1-97e33d9c2d6f}","11.0.61030.0"," ","All User 32-bit"," ","Microsoft Corporation"," "," "," "," "," "," "," "," ","C:\ProgramData\Package Cache\{33d1fd90-4274-48a1-9bc1-97e33d9c2d6f}\vcredist_x86.exe,0","17800","1688626730","NULL","NULL"
﻿"Microsoft Visual C++ 2019 X86 Debug Runtime - 14.29.30139","{3521C75E-6E25-47A6-9831-17EE6AAF01E2}","14.29.30139","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{3521C75E-6E25-47A6-9831-17EE6AAF01E2}","MsiExec.exe /I{3521C75E-6E25-47A6-9831-17EE6AAF01E2}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualCpp.RuntimeDebug.14,version=14.29.30139,chip=x86\"," "," ","24578","1688629248","NULL","NULL"
﻿"Dotfuscator and Analytics Community Edition","{372D17F6-A54E-4A01-B264-1314890FFE61}","5.5.4521.29298","20230706","All User 32-bit"," ","PreEmptive Solutions","MsiExec.exe /X{372D17F6-A54E-4A01-B264-1314890FFE61}","MsiExec.exe /X{372D17F6-A54E-4A01-B264-1314890FFE61}"," "," "," "," ","C:\ProgramData\Package Cache\{372D17F6-A54E-4A01-B264-1314890FFE61}v5.5.4521.29298\packages\Dotfuscator\"," "," ","9428","1688627454","NULL","NULL"
﻿"Microsoft Visual Studio 2012 Shell (Minimum) Resources","{38FC6E9A-F719-431A-A83D-4C86D5FD6555}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{38FC6E9A-F719-431A-A83D-4C86D5FD6555}","MsiExec.exe /I{38FC6E9A-F719-431A-A83D-4C86D5FD6555}"," "," "," "," ","C:\ProgramData\Package Cache\{38FC6E9A-F719-431A-A83D-4C86D5FD6555}v11.0.50727\packages\vs_minshellres\"," "," ","3328","1688627173","NULL","NULL"
﻿"vcpp_crt.redist.clickonce","{3A0C179A-20ED-429F-B4FD-B063290BF829}","14.29.30139","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{3A0C179A-20ED-429F-B4FD-B063290BF829}","MsiExec.exe /I{3A0C179A-20ED-429F-B4FD-B063290BF829}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualCpp.CRT.ClickOnce.Msi,version=14.29.30139,language=zh-TW\"," "," ","4","1688629180","NULL","NULL"
﻿"WCF RIA Services V1.0 SP2","{3A523AF9-D32F-4C85-8388-0335731F3405}","4.1.61829.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{3A523AF9-D32F-4C85-8388-0335731F3405}","MsiExec.exe /X{3A523AF9-D32F-4C85-8388-0335731F3405}"," "," "," "," ","C:\ProgramData\Package Cache\{3A523AF9-D32F-4C85-8388-0335731F3405}v4.1.61829.0\packages\RIA\"," "," ","28564","1688627576","NULL","NULL"
﻿"Windows SDK Desktop Headers x86","{3D5981B5-ABF0-1495-7FC3-102D1C75B9C8}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{3D5981B5-ABF0-1495-7FC3-102D1C75B9C8}","MsiExec.exe /I{3D5981B5-ABF0-1495-7FC3-102D1C75B9C8}"," "," "," "," ","C:\ProgramData\Package Cache\{3D5981B5-ABF0-1495-7FC3-102D1C75B9C8}v10.1.19041.685\Installers\"," "," ","90516","1688629460","NULL","NULL"
﻿"Windows Software Development Kit for Windows Store Apps DirectX x86 Remote","{42F61556-29ED-8122-F39E-6F04EA5FF279}","8.59.25584","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{42F61556-29ED-8122-F39E-6F04EA5FF279}","MsiExec.exe /I{42F61556-29ED-8122-F39E-6F04EA5FF279}"," "," "," "," ","C:\ProgramData\Package Cache\{42F61556-29ED-8122-F39E-6F04EA5FF279}v8.59.25584\packages\Windows_SDK\"," "," ","1720","1688627479","NULL","NULL"
﻿"Windows SDK Modern Non-Versioned Developer Tools","{43AA42C2-D292-CF91-6264-63B7A99CDE99}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{43AA42C2-D292-CF91-6264-63B7A99CDE99}","MsiExec.exe /I{43AA42C2-D292-CF91-6264-63B7A99CDE99}"," "," "," "," ","C:\ProgramData\Package Cache\{43AA42C2-D292-CF91-6264-63B7A99CDE99}v10.1.19041.685\Installers\"," "," ","10776","1688629413","NULL","NULL"
﻿"Windows SDK Redistributables","{43B3CDF5-CD8F-9A5E-4598-765F8CB27170}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{43B3CDF5-CD8F-9A5E-4598-765F8CB27170}","MsiExec.exe /I{43B3CDF5-CD8F-9A5E-4598-765F8CB27170}"," "," "," "," ","C:\ProgramData\Package Cache\{43B3CDF5-CD8F-9A5E-4598-765F8CB27170}v10.1.19041.685\Installers\"," "," ","6496","1688629445","NULL","NULL"
﻿"WinRT Intellisense Mobile - en-us","{443FF51E-16C3-F23B-18FC-0D1D66024B0B}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{443FF51E-16C3-F23B-18FC-0D1D66024B0B}","MsiExec.exe /I{443FF51E-16C3-F23B-18FC-0D1D66024B0B}"," "," "," "," ","C:\ProgramData\Package Cache\{443FF51E-16C3-F23B-18FC-0D1D66024B0B}v10.1.19041.685\Installers\"," "," ","188","1688629425","NULL","NULL"
﻿"Windows Software Development Kit - Windows 10.0.19041.685","{4591faf1-a2db-4a3d-bfda-aa5a4ebb1587}","10.1.19041.685"," ","All User 32-bit"," ","Microsoft Corporation"," "," "," "," "," "," "," "," ","C:\ProgramData\Package Cache\{4591faf1-a2db-4a3d-bfda-aa5a4ebb1587}\winsdksetup.exe,0","2103583","1688629473","NULL","NULL"
﻿"Microsoft Visual Studio Setup WMI Provider","{47B3704C-3287-4DFC-B019-CCBF305492B3}","3.6.2085.9058","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{47B3704C-3287-4DFC-B019-CCBF305492B3}","MsiExec.exe /I{47B3704C-3287-4DFC-B019-CCBF305492B3}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.Setup.WMIProvider,version=3.6.2085.9058\"," "," ","4488","1688626277","NULL","NULL"
﻿"Windows IoT Extension SDK Contracts","{497B2D49-F5C2-CA3B-05FF-22ABF39F2873}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{497B2D49-F5C2-CA3B-05FF-22ABF39F2873}","MsiExec.exe /I{497B2D49-F5C2-CA3B-05FF-22ABF39F2873}"," "," "," "," ","C:\ProgramData\Package Cache\{497B2D49-F5C2-CA3B-05FF-22ABF39F2873}v10.1.19041.685\Installers\"," "," ","372","1688629426","NULL","NULL"
﻿"Windows SDK for Windows Store Apps Tools","{4AC6C7FB-D848-9D68-DCB0-1376083FEA3A}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{4AC6C7FB-D848-9D68-DCB0-1376083FEA3A}","MsiExec.exe /I{4AC6C7FB-D848-9D68-DCB0-1376083FEA3A}"," "," "," "," ","C:\ProgramData\Package Cache\{4AC6C7FB-D848-9D68-DCB0-1376083FEA3A}v10.1.19041.685\Installers\"," "," ","144664","1688629360","NULL","NULL"
﻿"Windows SDK Desktop Headers arm","{4BD2B107-B0D3-850C-7135-ACA153D30C78}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{4BD2B107-B0D3-850C-7135-ACA153D30C78}","MsiExec.exe /I{4BD2B107-B0D3-850C-7135-ACA153D30C78}"," "," "," "," ","C:\ProgramData\Package Cache\{4BD2B107-B0D3-850C-7135-ACA153D30C78}v10.1.19041.685\Installers\"," "," ","96","1688629467","NULL","NULL"
﻿"Universal CRT Extension SDK","{4D69FB64-4443-F2DD-DE1C-F14FD98AAC59}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{4D69FB64-4443-F2DD-DE1C-F14FD98AAC59}","MsiExec.exe /I{4D69FB64-4443-F2DD-DE1C-F14FD98AAC59}"," "," "," "," ","C:\ProgramData\Package Cache\{4D69FB64-4443-F2DD-DE1C-F14FD98AAC59}v10.1.19041.685\Installers\"," "," ","6448","1688629428","NULL","NULL"
﻿"Blend for Visual Studio 2012 ENU resources","{532DBCC8-9468-435C-AEF6-30B7F50735A2}","5.0.30709.0","20230706","All User 32-bit","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Blend\","Microsoft Corporation","MsiExec.exe /I{532DBCC8-9468-435C-AEF6-30B7F50735A2}","MsiExec.exe /I{532DBCC8-9468-435C-AEF6-30B7F50735A2}"," ","http://go.microsoft.com/fwlink/?LinkID=75064"," "," ","C:\ProgramData\Package Cache\{532DBCC8-9468-435C-AEF6-30B7F50735A2}v5.0.30709.0\packages\Blend_LP\"," "," ","9116","1688627342","1688627326","1688627342"
﻿"Microsoft Visual Studio 2012 Preparation","{540AA6E2-6F5A-4147-9B3E-D99E3AD2BFFF}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{540AA6E2-6F5A-4147-9B3E-D99E3AD2BFFF}","MsiExec.exe /I{540AA6E2-6F5A-4147-9B3E-D99E3AD2BFFF}"," "," "," "," ","C:\ProgramData\Package Cache\{540AA6E2-6F5A-4147-9B3E-D99E3AD2BFFF}v11.0.50727\packages\"," "," ","160","1688628043","NULL","NULL"
﻿"Microsoft ASP.NET Web Pages 2 - Visual Studio 2012 Tools","{57D782D7-49FD-48DE-AB47-A690A1519A2D}","2.0.20710.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{57D782D7-49FD-48DE-AB47-A690A1519A2D}","MsiExec.exe /X{57D782D7-49FD-48DE-AB47-A690A1519A2D}"," "," "," "," ","C:\ProgramData\Package Cache\{57D782D7-49FD-48DE-AB47-A690A1519A2D}v2.0.20710.0\packages\WPT\"," ","C:\Windows\SysWOW64\\msiexec.exe","22280","1688627430","NULL","NULL"
﻿"Blend for Visual Studio 2012","{57F20F04-014D-453F-B6A3-AE9485C4DFAB}","5.0.30709.0","20230706","All User 32-bit","C:\Program Files (x86)\Microsoft Visual Studio 11.0\Blend\","Microsoft Corporation","MsiExec.exe /I{57F20F04-014D-453F-B6A3-AE9485C4DFAB}","MsiExec.exe /I{57F20F04-014D-453F-B6A3-AE9485C4DFAB}"," ","http://go.microsoft.com/fwlink/?LinkID=75064"," "," ","C:\ProgramData\Package Cache\{57F20F04-014D-453F-B6A3-AE9485C4DFAB}v5.0.30709.0\packages\Blend_Core\"," "," ","45332","1688627329","1688627326","1688627342"
﻿"Microsoft ASP.NET MVC 4 - Visual Studio 2012 Tools","{59D87F40-6C4B-4F80-A42B-FAA0E6EAFAB6}","4.0.20710.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{59D87F40-6C4B-4F80-A42B-FAA0E6EAFAB6}","MsiExec.exe /X{59D87F40-6C4B-4F80-A42B-FAA0E6EAFAB6}"," "," "," "," ","C:\ProgramData\Package Cache\{59D87F40-6C4B-4F80-A42B-FAA0E6EAFAB6}v4.0.20710.0\packages\WPT\"," ","C:\Windows\SysWOW64\\msiexec.exe","30400","1688627438","NULL","NULL"
﻿"vs_communitymsi","{5C127D2C-BC0B-44B8-A1A5-34E9E7A116FC}","16.11.31911","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{5C127D2C-BC0B-44B8-A1A5-34E9E7A116FC}","MsiExec.exe /I{5C127D2C-BC0B-44B8-A1A5-34E9E7A116FC}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.Community.Msi,version=16.11.31911.129\"," "," ","37764","1688629133","NULL","NULL"
﻿"Microsoft .NET Framework 4.5 Multi-Targeting Pack","{5CBFF3F3-2D40-34EE-BCA5-A95BC19E400D}","4.5.50709","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{5CBFF3F3-2D40-34EE-BCA5-A95BC19E400D}","MsiExec.exe /X{5CBFF3F3-2D40-34EE-BCA5-A95BC19E400D}"," "," "," "," ","C:\ProgramData\Package Cache\{5CBFF3F3-2D40-34EE-BCA5-A95BC19E400D}v4.5.50709\packages\NetFxDTP\"," "," ","42808","1688627140","NULL","NULL"
﻿"Microsoft Visual Studio Setup Configuration","{5E8B524C-99ED-4F58-AC9F-3B05036833A4}","3.6.2085.9058","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{5E8B524C-99ED-4F58-AC9F-3B05036833A4}","MsiExec.exe /I{5E8B524C-99ED-4F58-AC9F-3B05036833A4}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.Setup.Configuration,version=3.6.2085.9058\"," "," ","1688","1688626276","NULL","NULL"
﻿"Windows Team Extension SDK Contracts","{5F616EBF-DF09-A2DA-AB66-3A5341FA611C}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{5F616EBF-DF09-A2DA-AB66-3A5341FA611C}","MsiExec.exe /I{5F616EBF-DF09-A2DA-AB66-3A5341FA611C}"," "," "," "," ","C:\ProgramData\Package Cache\{5F616EBF-DF09-A2DA-AB66-3A5341FA611C}v10.1.19041.685\Installers\"," "," ","4","1688629427","NULL","NULL"
﻿"Windows Software Development Kit","{60D5EF2A-4E0C-2C30-38F6-59C26E134F4A}","8.59.25584","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{60D5EF2A-4E0C-2C30-38F6-59C26E134F4A}","MsiExec.exe /I{60D5EF2A-4E0C-2C30-38F6-59C26E134F4A}"," "," "," "," ","C:\ProgramData\Package Cache\{60D5EF2A-4E0C-2C30-38F6-59C26E134F4A}v8.59.25584\packages\Windows_SDK\"," "," ","275784","1688627469","NULL","NULL"
﻿"Microsoft ASP.NET Web Pages","{631471BE-DEAB-454B-A9AC-CE3EB42C28B3}","1.0.20105.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{631471BE-DEAB-454B-A9AC-CE3EB42C28B3}","MsiExec.exe /X{631471BE-DEAB-454B-A9AC-CE3EB42C28B3}"," "," "," "," ","C:\ProgramData\Package Cache\{631471BE-DEAB-454B-A9AC-CE3EB42C28B3}v1.0.20105.0\packages\WPT\"," ","C:\Windows\SysWOW64\\msiexec.exe","2140","1688627415","NULL","NULL"
﻿"Windows App Certification Kit x64","{6487BFDF-6FA4-7CC5-0341-AA5D1AB69856}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{6487BFDF-6FA4-7CC5-0341-AA5D1AB69856}","MsiExec.exe /I{6487BFDF-6FA4-7CC5-0341-AA5D1AB69856}"," "," "," "," ","C:\ProgramData\Package Cache\{6487BFDF-6FA4-7CC5-0341-AA5D1AB69856}v10.1.19041.685\Installers\"," "," ","73096","1688629347","NULL","NULL"
﻿"Universal CRT Headers Libraries and Sources","{6B56745A-F6A4-C51C-933A-AD96C00683EA}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{6B56745A-F6A4-C51C-933A-AD96C00683EA}","MsiExec.exe /I{6B56745A-F6A4-C51C-933A-AD96C00683EA}"," "," "," "," ","C:\ProgramData\Package Cache\{6B56745A-F6A4-C51C-933A-AD96C00683EA}v10.1.19041.685\Installers\"," "," ","289372","1688629423","NULL","NULL"
﻿"vs_filehandler_x86","{6CBDE7BE-E956-4E0E-81FB-2CB79190C924}","16.11.31503","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{6CBDE7BE-E956-4E0E-81FB-2CB79190C924}","MsiExec.exe /I{6CBDE7BE-E956-4E0E-81FB-2CB79190C924}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.FileHandler.Msi,version=16.11.31503.54,chip=x86\"," "," ","2076","1688626284","NULL","NULL"
﻿"TypeScript SDK","{6D0FC687-BA41-4DFD-80B4-3469E567AA0F}","4.3.5.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{6D0FC687-BA41-4DFD-80B4-3469E567AA0F}","MsiExec.exe /X{6D0FC687-BA41-4DFD-80B4-3469E567AA0F}"," ","http://www.typescriptlang.org","http://www.typescriptlang.org"," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.TypeScript.Sdk.4.3,version=4.3.10701.3\"," "," ","29301","1688629203","NULL","NULL"
﻿"Microsoft SQL Server 2012 T-SQL Language Service ","{6D6D43E5-218C-4B05-92D3-2240810F4760}","11.0.2100.60","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{6D6D43E5-218C-4B05-92D3-2240810F4760}","MsiExec.exe /I{6D6D43E5-218C-4B05-92D3-2240810F4760}"," "," "," "," ","C:\ProgramData\Package Cache\{6D6D43E5-218C-4B05-92D3-2240810F4760}v11.0.2100.60\packages\TSqlLanguageService\"," "," ","6280","1688627181","NULL","NULL"
﻿"Microsoft Visual Studio Team Foundation Server 2012 Team Explorer","{6DAB46E3-D017-3E2B-85D8-F57A230384C0}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{6DAB46E3-D017-3E2B-85D8-F57A230384C0}","MsiExec.exe /I{6DAB46E3-D017-3E2B-85D8-F57A230384C0}"," "," "," "," ","C:\ProgramData\Package Cache\{6DAB46E3-D017-3E2B-85D8-F57A230384C0}v11.0.50727\packages\TeamExplorerCore\"," "," ","58592","1688627350","NULL","NULL"
﻿"Microsoft ASP.NET Web Pages - Visual Studio 2012 Tools","{6F066545-40A2-4C38-A8F7-78581CC5C442}","1.0.20710.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{6F066545-40A2-4C38-A8F7-78581CC5C442}","MsiExec.exe /X{6F066545-40A2-4C38-A8F7-78581CC5C442}"," "," "," "," ","C:\ProgramData\Package Cache\{6F066545-40A2-4C38-A8F7-78581CC5C442}v1.0.20710.0\packages\WPT\"," "," ","11204","1688627418","NULL","NULL"
﻿"Windows Mobile Extension SDK","{718C25EB-084C-6341-1C3E-589DA641C28F}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{718C25EB-084C-6341-1C3E-589DA641C28F}","MsiExec.exe /I{718C25EB-084C-6341-1C3E-589DA641C28F}"," "," "," "," ","C:\ProgramData\Package Cache\{718C25EB-084C-6341-1C3E-589DA641C28F}v10.1.19041.685\Installers\"," "," ","6868","1688629428","NULL","NULL"
﻿"SDK ARM Redistributables","{72DB07D6-E166-5A3F-B6E6-4664383781B8}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{72DB07D6-E166-5A3F-B6E6-4664383781B8}","MsiExec.exe /I{72DB07D6-E166-5A3F-B6E6-4664383781B8}"," "," "," "," ","C:\ProgramData\Package Cache\{72DB07D6-E166-5A3F-B6E6-4664383781B8}v10.1.19041.685\Installers\"," "," ","2724","1688629470","NULL","NULL"
﻿"Microsoft Visual C++ 2012 Extended Libraries","{731C183B-86A0-3442-BE55-68A7C92581E9}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{731C183B-86A0-3442-BE55-68A7C92581E9}","MsiExec.exe /X{731C183B-86A0-3442-BE55-68A7C92581E9}"," "," "," "," ","C:\ProgramData\Package Cache\{731C183B-86A0-3442-BE55-68A7C92581E9}v11.0.50727\packages\vc_libraryextended\"," "," ","84248","1688627091","NULL","NULL"
﻿"Microsoft LightSwitch for Visual Studio 2012 Core","{7437A4B9-314F-3B8F-827B-22909146E471}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{7437A4B9-314F-3B8F-827B-22909146E471}","MsiExec.exe /I{7437A4B9-314F-3B8F-827B-22909146E471}"," "," "," "," ","C:\ProgramData\Package Cache\{7437A4B9-314F-3B8F-827B-22909146E471}v11.0.50727\packages\lightswitchcore\"," "," ","175264","1688627318","NULL","NULL"
﻿"Microsoft SQL Server Data Tools Build Utilities - enu (11.1.20627.00)","{790E9425-8570-493F-9AE7-81AFC9E46930}","11.1.20627.00","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /X{790E9425-8570-493F-9AE7-81AFC9E46930}","MsiExec.exe /X{790E9425-8570-493F-9AE7-81AFC9E46930}"," "," "," "," ","C:\ProgramData\Package Cache\{790E9425-8570-493F-9AE7-81AFC9E46930}v11.1.20627.00\packages\SSDT\"," "," ","1360","1688627364","NULL","NULL"
﻿"Windows Mobile Extension SDK Contracts","{7A9E937D-9757-80CB-A6E3-F4AB6081AEA6}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{7A9E937D-9757-80CB-A6E3-F4AB6081AEA6}","MsiExec.exe /I{7A9E937D-9757-80CB-A6E3-F4AB6081AEA6}"," "," "," "," ","C:\ProgramData\Package Cache\{7A9E937D-9757-80CB-A6E3-F4AB6081AEA6}v10.1.19041.685\Installers\"," "," ","152","1688629427","NULL","NULL"
﻿"MSI Development Tools","{7AAC93B0-F3D7-6B24-6B37-9E74980C1C81}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{7AAC93B0-F3D7-6B24-6B37-9E74980C1C81}","MsiExec.exe /I{7AAC93B0-F3D7-6B24-6B37-9E74980C1C81}"," "," "," "," ","C:\ProgramData\Package Cache\{7AAC93B0-F3D7-6B24-6B37-9E74980C1C81}v10.1.19041.685\Installers\"," "," ","4120","1688629354","NULL","NULL"
﻿"Windows SDK","{7B891B74-6BE8-1581-357C-72DD8A82F0F7}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{7B891B74-6BE8-1581-357C-72DD8A82F0F7}","MsiExec.exe /I{7B891B74-6BE8-1581-357C-72DD8A82F0F7}"," "," "," "," ","C:\ProgramData\Package Cache\{7B891B74-6BE8-1581-357C-72DD8A82F0F7}v10.1.19041.685\Installers\"," "," ","3152","1688629355","NULL","NULL"
﻿"Windows SDK Desktop Libs x86","{7DD1F495-F1BF-6A30-620F-AC064DD302D8}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{7DD1F495-F1BF-6A30-620F-AC064DD302D8}","MsiExec.exe /I{7DD1F495-F1BF-6A30-620F-AC064DD302D8}"," "," "," "," ","C:\ProgramData\Package Cache\{7DD1F495-F1BF-6A30-620F-AC064DD302D8}v10.1.19041.685\Installers\"," "," ","71600","1688629462","NULL","NULL"
﻿"Microsoft Visual Studio 2012 Shell (Minimum)","{800F484E-9D69-492D-B656-7BAA32586142}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{800F484E-9D69-492D-B656-7BAA32586142}","MsiExec.exe /I{800F484E-9D69-492D-B656-7BAA32586142}"," "," "," "," ","C:\ProgramData\Package Cache\{800F484E-9D69-492D-B656-7BAA32586142}v11.0.50727\packages\vs_minshellcore\"," "," ","34624","1688627147","NULL","NULL"
﻿"Microsoft Visual Studio 2012 Shell (Minimum) Interop Assemblies","{820C677A-41B2-48C3-8136-FEE35A052E73}","11.0.50727","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{820C677A-41B2-48C3-8136-FEE35A052E73}","MsiExec.exe /I{820C677A-41B2-48C3-8136-FEE35A052E73}"," "," "," "," ","C:\ProgramData\Package Cache\{820C677A-41B2-48C3-8136-FEE35A052E73}v11.0.50727\packages\vs_minshellinterop\"," "," ","4908","1688627165","NULL","NULL"
﻿"vs_minshellmsi","{87EB7AA1-6FF4-4B24-9DB6-645C019B4C87}","16.11.33130","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{87EB7AA1-6FF4-4B24-9DB6-645C019B4C87}","MsiExec.exe /I{87EB7AA1-6FF4-4B24-9DB6-645C019B4C87}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.MinShell.Msi,version=16.11.33130.273\"," "," ","272","1688626273","NULL","NULL"
﻿"WinRT Intellisense UAP - Other Languages","{8832F8ED-1035-9ABE-FD73-4E5ABAA84A5C}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{8832F8ED-1035-9ABE-FD73-4E5ABAA84A5C}","MsiExec.exe /I{8832F8ED-1035-9ABE-FD73-4E5ABAA84A5C}"," "," "," "," ","C:\ProgramData\Package Cache\{8832F8ED-1035-9ABE-FD73-4E5ABAA84A5C}v10.1.19041.685\Installers\"," "," ","125312","1688629450","NULL","NULL"
﻿"vs_minshellinteropmsi","{883D29E5-9A41-4C45-A192-C10B8078BF0C}","16.10.31306","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{883D29E5-9A41-4C45-A192-C10B8078BF0C}","MsiExec.exe /I{883D29E5-9A41-4C45-A192-C10B8078BF0C}"," "," "," "," ","C:\ProgramData\Microsoft\VisualStudio\Packages\Microsoft.VisualStudio.MinShell.Interop.Msi,version=16.10.31306.167\"," "," ","2180","1688629122","NULL","NULL"
﻿"Visual Studio Extensions for Windows Library for JavaScript","{89B4532E-19CE-4FA9-9692-10BFD5A38532}","1.0.8514.0","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{89B4532E-19CE-4FA9-9692-10BFD5A38532}","MsiExec.exe /I{89B4532E-19CE-4FA9-9692-10BFD5A38532}"," "," "," "," ","C:\ProgramData\Package Cache\{89B4532E-19CE-4FA9-9692-10BFD5A38532}v1.0.8514.0\packages\WinLibJS_CORE\"," "," ","25268","1688627613","NULL","NULL"
﻿"Microsoft Silverlight","{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00}","5.1.10411.0","20230706","All User 32-bit","c:\Program Files (x86)\Microsoft Silverlight\","Microsoft Corporation","MsiExec.exe /X{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00}","MsiExec.exe /X{89F4137D-6C26-4A84-BDB8-2E5A4BB71E00}"," "," "," "," ","c:\2374ff944d7663bbbca3e434\"," "," ","36349","1688627557","1688627537","1688627541"
﻿"Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.29.30139","{8d5fdf81-7022-423f-bd8b-b513a1050ae1}","14.29.30139.0"," ","All User 32-bit"," ","Microsoft Corporation"," "," "," "," "," "," "," "," ","C:\ProgramData\Package Cache\{8d5fdf81-7022-423f-bd8b-b513a1050ae1}\VC_redist.x86.exe,0","18338","1688629175","NULL","NULL"
﻿"Windows SDK for Windows Store Apps Headers","{8E9DD3FE-3338-8012-81C5-F3AA9B617BAE}","10.1.19041.685","20230706","All User 32-bit"," ","Microsoft Corporation","MsiExec.exe /I{8E9DD3FE-3338-8012-81C5-F3AA9B617BAE}","MsiExec.exe /I{8E9DD3FE-3338-8012-81C5-F3AA9B617BAE}"," "," "," "," ","C:\ProgramData\Package Cache\{8E9DD3FE-3338-8012-81C5-F3AA9B617BAE}v10.1.19041.685\Installers\"," "," ","219644","1688629441","NULL","NULL"
